,importance
te_property_type,0.11569843380963725
accommodates,0.09764930402535327
bedrooms,0.0868247037665878
minimum_nights,0.05825457220149
te_neighbourhood,0.04346874089638114
beds,0.04013731220563135
is_shared_bath,0.03940963849052091
dist_centre_km,0.03899750120459561
bathrooms_num,0.03649630967913817
amenities_count,0.03486366710534525
is_longterm,0.0336606365829631
availability_365,0.028816766488787247
latitude,0.027505104290057845
host_listings_count,0.02743781107158136
longitude,0.02715976056869507
room_Entire home/apt,0.026961091629049014
room_Private room,0.02388206135599694
calculated_host_listings_count,0.023782343518766794
reviews_per_month,0.022211466483233747
number_of_reviews,0.021597905959321727
te_cluster,0.020969542582467325
review_scores_rating,0.01886531279853923
instant_bookable,0.016399189025869745
host_response_rate_num,0.013067039932184311
am_dishwasher,0.012260297852009838
am_tv,0.009800088249366545
room_Shared room,0.007572309030302685
am_elevator,0.006827373442449005
am_dryer,0.004661969877516136
am_washer,0.004640954351303722
superhost,0.0043937380349042925
am_ac,0.0043491659434741516
am_balcony,0.004303226020556646
am_parking,0.004118758353004828
am_kitchen,0.003316641423927424
has_reviews,0.003129057248258526
am_heating,0.0021214513503805977
room_Hotel room,0.0012749154972298818
has_description,0.00104585627253006
am_wifi,0.0009223836283587221
am_pool,0.0006864472091821747
am_hottub,0.00045915054305061974
